Transaction ID,Date,Product ID,Product Name,Category,Quantity Sold,Sales Price per Unit ($),Total Sales ($),Discount (%),Total Sales After Discount ($),Stock After Sale,Returned,Net Sales Value ($),Weather Condition,Temperature (°C),Humidity (%),Precipitation (mm),Wind Speed (km/h),Is Holiday,Holiday Name,Is Weekend,Is Special Event,Special Event Name,Season
T9239,2024-03-27,P006,Blender,Home Appliances,9,435.88,3922.92,20,3138.34,49,0,3138.34,Sunny,20.2,63,0.0,10.17,0,,0,0,,Spring
T4756,2024-03-28,P014,Sofa,Furniture,1,148.67,148.67,0,148.67,100,1,118.94,Snow,21.43,68,12.29,17.38,0,,0,0,,Spring
T5513,2024-03-28,P019,Doll,Toys,2,504.36,1008.72,5,958.28,109,0,958.28,Sunny,19.35,73,0.0,10.94,0,,0,0,,Spring
T2492,2024-03-28,P001,Laptop,Electronics,7,525.96,3681.72,15,3129.46,120,0,3129.46,Snow,20.47,57,3.74,27.05,0,,0,0,,Spring
T1918,2024-03-28,P014,Sofa,Furniture,10,115.57,1155.7,20,924.56,105,1,739.65,Stormy,15.93,80,6.03,19.62,0,,0,0,,Spring
T1917,2024-03-28,P017,Mattress,Furniture,8,857.71,6861.68,20,5489.34,60,1,4391.47,Cloudy,12.02,62,0.0,8.24,0,,0,0,,Spring
T8858,2024-03-28,P003,Headphones,Electronics,5,808.46,4042.3,15,3435.95,27,0,3435.95,Stormy,10.39,63,5.78,11.45,0,,0,0,,Spring
T7795,2024-03-28,P012,Jeans,Clothing,2,859.19,1718.38,10,1546.54,71,0,1546.54,Rainy,14.76,53,14.26,24.77,0,,0,0,,Spring
T6832,2024-03-28,P017,Mattress,Furniture,8,43.75,350.0,0,350.0,199,1,280.0,Sunny,20.12,46,0.0,12.07,0,,0,0,,Spring
T9221,2024-03-28,P015,Dining Table,Furniture,5,146.6,733.0,0,733.0,17,0,733.0,Cloudy,20.45,31,0.0,14.65,0,,0,0,,Spring
T7197,2024-03-28,P005,Keyboard,Accessories,8,394.34,3154.72,10,2839.25,165,0,2839.25,Rainy,24.15,33,4.6,20.81,0,,0,0,,Spring
T7035,2024-03-29,P009,Coffee Machine,Home Appliances,5,573.64,2868.2,15,2437.97,171,0,2437.97,Stormy,23.76,57,19.61,6.18,0,,0,0,,Spring
T9929,2024-03-29,P001,Laptop,Electronics,2,716.87,1433.74,5,1362.05,71,1,1089.64,Cloudy,14.83,36,0.0,13.83,0,,0,0,,Spring
T5812,2024-03-29,P001,Laptop,Electronics,6,527.53,3165.18,15,2690.4,62,0,2690.4,Stormy,11.91,83,2.28,20.7,0,,0,0,,Spring
T4233,2024-03-29,P013,Winter Coat,Clothing,7,756.28,5293.96,0,5293.96,129,1,4235.17,Stormy,18.93,64,13.08,29.47,0,,0,0,,Spring
T5052,2024-03-29,P004,Monitor,Electronics,5,496.88,2484.4,0,2484.4,79,0,2484.4,Sunny,15.19,80,0.0,14.2,0,,0,0,,Spring
T5957,2024-03-29,P020,Board Game,Toys,10,713.39,7133.9,20,5707.12,59,1,4565.7,Stormy,20.09,81,5.46,28.24,0,,0,0,,Spring
T8711,2024-03-29,P020,Board Game,Toys,9,130.2,1171.8,20,937.44,185,1,749.95,Cloudy,17.94,89,0.0,26.36,0,,0,0,,Spring
T6734,2024-03-29,P007,Vacuum Cleaner,Home Appliances,9,296.49,2668.41,15,2268.15,27,0,2268.15,Stormy,22.36,37,15.46,17.23,0,,0,0,,Spring
T4588,2024-03-29,P013,Winter Coat,Clothing,9,387.75,3489.75,0,3489.75,149,0,3489.75,Cloudy,11.2,61,0.0,24.39,0,,0,0,,Spring
T8922,2024-03-29,P020,Board Game,Toys,10,432.23,4322.3,15,3673.95,96,1,2939.16,Cloudy,14.54,83,0.0,11.6,0,,0,0,,Spring
T8333,2024-03-30,P014,Sofa,Furniture,6,197.44,1184.64,15,1006.94,136,1,805.55,Snow,15.8,55,18.14,10.41,0,,1,0,,Spring
T1995,2024-03-30,P005,Keyboard,Accessories,10,309.56,3095.6,15,2631.26,67,0,2631.26,Snow,18.05,63,10.94,10.28,0,,1,0,,Spring
T1001,2024-03-30,P009,Coffee Machine,Home Appliances,2,735.12,1470.24,5,1396.73,82,1,1117.38,Snow,15.09,89,17.83,19.14,0,,1,0,,Spring
T7025,2024-03-30,P009,Coffee Machine,Home Appliances,7,314.34,2200.38,20,1760.3,117,0,1760.3,Stormy,20.65,85,0.97,9.3,0,,1,0,,Spring
T6192,2024-03-30,P017,Mattress,Furniture,7,201.22,1408.54,10,1267.69,74,0,1267.69,Stormy,13.83,40,0.5,29.1,0,,1,0,,Spring
T9521,2024-03-30,P006,Blender,Home Appliances,9,246.93,2222.37,5,2111.25,199,1,1689.0,Cloudy,12.39,86,0.0,11.32,0,,1,0,,Spring
T9811,2024-03-30,P015,Dining Table,Furniture,3,780.96,2342.88,5,2225.74,125,0,2225.74,Cloudy,20.87,71,0.0,23.66,0,,1,0,,Spring
T8941,2024-03-30,P002,Smartphone,Electronics,10,531.61,5316.1,10,4784.49,183,0,4784.49,Snow,24.52,54,17.81,20.98,0,,1,0,,Spring
T5566,2024-03-30,P015,Dining Table,Furniture,2,424.95,849.9,10,764.91,184,1,611.93,Cloudy,15.03,71,0.0,23.46,0,,1,0,,Spring
T3026,2024-03-30,P011,T-shirt,Clothing,10,526.78,5267.8,20,4214.24,193,0,4214.24,Stormy,23.98,65,10.86,17.16,0,,1,0,,Spring
T8761,2024-03-31,P001,Laptop,Electronics,8,834.55,6676.4,10,6008.76,101,0,6008.76,Rainy,17.9,90,16.06,23.7,0,,1,0,,Spring
T4925,2024-03-31,P005,Keyboard,Accessories,2,258.95,517.9,5,492.0,188,1,393.6,Snow,22.67,39,4.74,10.71,0,,1,0,,Spring
T7837,2024-03-31,P003,Headphones,Electronics,10,354.47,3544.7,5,3367.46,73,0,3367.46,Rainy,18.77,60,11.55,12.34,0,,1,0,,Spring
T1507,2024-03-31,P020,Board Game,Toys,6,854.94,5129.64,15,4360.19,47,1,3488.15,Sunny,23.44,55,0.0,21.94,0,,1,0,,Spring
T7035,2024-03-31,P005,Keyboard,Accessories,1,149.03,149.03,10,134.13,170,0,134.13,Stormy,10.08,67,5.92,24.53,0,,1,0,,Spring
T5337,2024-03-31,P019,Doll,Toys,2,17.57,35.14,5,33.38,98,0,33.38,Cloudy,17.29,55,0.0,18.77,0,,1,0,,Spring
T4516,2024-03-31,P009,Coffee Machine,Home Appliances,3,180.55,541.65,0,541.65,41,0,541.65,Sunny,17.47,79,0.0,17.3,0,,1,0,,Spring
T5878,2024-03-31,P004,Monitor,Electronics,8,397.73,3181.84,15,2704.56,156,0,2704.56,Rainy,12.37,72,9.26,12.94,0,,1,0,,Spring
T8811,2024-03-31,P016,Bookshelf,Furniture,3,478.99,1436.97,20,1149.58,21,1,919.66,Snow,13.07,63,7.95,16.01,0,,1,0,,Spring
T3058,2024-03-31,P013,Winter Coat,Clothing,5,221.67,1108.35,0,1108.35,121,1,886.68,Rainy,23.07,46,3.55,11.77,0,,1,0,,Spring
T1165,2024-04-01,P011,T-shirt,Clothing,9,492.46,4432.14,20,3545.71,20,0,3545.71,Stormy,15.58,83,2.98,7.32,0,,0,0,,Spring
T6173,2024-04-01,P011,T-shirt,Clothing,10,613.02,6130.2,15,5210.67,141,1,4168.54,Rainy,15.57,89,17.24,9.5,0,,0,0,,Spring
T2486,2024-04-01,P006,Blender,Home Appliances,2,462.08,924.16,20,739.33,35,0,739.33,Stormy,10.63,69,6.8,19.6,0,,0,0,,Spring
T1790,2024-04-01,P003,Headphones,Electronics,3,791.19,2373.57,15,2017.53,117,1,1614.02,Sunny,18.79,79,0.0,7.38,0,,0,0,,Spring
T3272,2024-04-01,P008,Air Fryer,Home Appliances,3,278.09,834.27,5,792.56,167,0,792.56,Sunny,18.61,75,0.0,21.61,0,,0,0,,Spring
T4941,2024-04-01,P003,Headphones,Electronics,9,617.28,5555.52,10,4999.97,88,1,3999.98,Sunny,10.81,66,0.0,8.85,0,,0,0,,Spring
T7801,2024-04-01,P013,Winter Coat,Clothing,6,187.22,1123.32,0,1123.32,45,1,898.66,Sunny,22.93,38,0.0,14.64,0,,0,0,,Spring
T4200,2024-04-01,P005,Keyboard,Accessories,7,551.3,3859.1,10,3473.19,146,0,3473.19,Stormy,13.8,71,2.26,24.64,0,,0,0,,Spring
T9933,2024-04-01,P005,Keyboard,Accessories,8,599.36,4794.88,10,4315.39,59,0,4315.39,Snow,19.51,37,11.58,19.62,0,,0,0,,Spring
T7802,2024-04-01,P001,Laptop,Electronics,2,586.3,1172.6,20,938.08,159,1,750.46,Sunny,18.2,46,0.0,17.59,0,,0,0,,Spring
T4539,2024-04-02,P004,Monitor,Electronics,6,192.93,1157.58,15,983.94,176,1,787.15,Rainy,10.29,71,5.08,13.88,0,,0,0,,Spring
T2907,2024-04-02,P014,Sofa,Furniture,7,331.86,2323.02,20,1858.42,67,1,1486.74,Snow,12.76,43,17.7,16.48,0,,0,0,,Spring
T1664,2024-04-02,P017,Mattress,Furniture,9,716.22,6445.98,20,5156.78,116,0,5156.78,Rainy,21.8,81,8.49,20.12,0,,0,0,,Spring
T5301,2024-04-02,P004,Monitor,Electronics,4,220.49,881.96,15,749.67,31,1,599.74,Sunny,19.7,64,0.0,19.81,0,,0,0,,Spring
T7946,2024-04-02,P020,Board Game,Toys,2,433.45,866.9,20,693.52,177,0,693.52,Sunny,16.74,84,0.0,10.97,0,,0,0,,Spring
T9562,2024-04-02,P017,Mattress,Furniture,6,72.37,434.22,5,412.51,156,1,330.01,Cloudy,14.17,57,0.0,8.85,0,,0,0,,Spring
T8024,2024-04-02,P007,Vacuum Cleaner,Home Appliances,3,596.22,1788.66,15,1520.36,186,1,1216.29,Sunny,16.63,69,0.0,7.76,0,,0,0,,Spring
T3030,2024-04-02,P009,Coffee Machine,Home Appliances,4,910.94,3643.76,0,3643.76,83,1,2915.01,Sunny,15.31,31,0.0,18.03,0,,0,0,,Spring
T9628,2024-04-02,P006,Blender,Home Appliances,9,334.3,3008.7,0,3008.7,165,1,2406.96,Snow,19.11,42,19.5,10.28,0,,0,0,,Spring
T9665,2024-04-02,P013,Winter Coat,Clothing,1,427.67,427.67,15,363.52,69,1,290.82,Cloudy,11.16,58,0.0,19.41,0,,0,0,,Spring
T3862,2024-04-03,P018,Toy Car,Toys,3,993.11,2979.33,10,2681.4,115,1,2145.12,Rainy,15.22,59,17.5,26.41,0,,0,0,,Spring
T6300,2024-04-03,P004,Monitor,Electronics,8,736.72,5893.76,5,5599.07,43,1,4479.26,Cloudy,22.1,90,0.0,5.85,0,,0,0,,Spring
T7147,2024-04-03,P019,Doll,Toys,3,402.21,1206.63,20,965.3,123,1,772.24,Stormy,21.3,84,16.88,24.89,0,,0,0,,Spring
T8683,2024-04-03,P007,Vacuum Cleaner,Home Appliances,10,596.86,5968.6,0,5968.6,51,0,5968.6,Stormy,13.05,71,15.95,18.21,0,,0,0,,Spring
T4702,2024-04-03,P018,Toy Car,Toys,3,834.7,2504.1,15,2128.48,58,0,2128.48,Snow,19.89,60,14.91,25.17,0,,0,0,,Spring
T4383,2024-04-03,P004,Monitor,Electronics,2,903.15,1806.3,10,1625.67,23,1,1300.54,Sunny,20.25,75,0.0,10.19,0,,0,0,,Spring
T7592,2024-04-03,P011,T-shirt,Clothing,8,498.41,3987.28,5,3787.92,71,0,3787.92,Sunny,22.31,84,0.0,5.59,0,,0,0,,Spring
T1524,2024-04-03,P008,Air Fryer,Home Appliances,5,574.36,2871.8,5,2728.21,153,0,2728.21,Sunny,23.44,65,0.0,5.69,0,,0,0,,Spring
T8186,2024-04-03,P011,T-shirt,Clothing,2,966.89,1933.78,0,1933.78,171,1,1547.02,Cloudy,17.25,32,0.0,12.55,0,,0,0,,Spring
T9801,2024-04-03,P014,Sofa,Furniture,4,263.99,1055.96,10,950.36,42,0,950.36,Sunny,22.71,69,0.0,16.15,0,,0,0,,Spring
T6672,2024-04-04,P001,Laptop,Electronics,8,909.07,7272.56,5,6908.93,59,0,6908.93,Snow,24.43,31,4.28,29.58,0,,0,0,,Spring
T5156,2024-04-04,P009,Coffee Machine,Home Appliances,2,567.53,1135.06,20,908.05,139,1,726.44,Rainy,17.27,61,7.22,6.06,0,,0,0,,Spring
T1146,2024-04-04,P016,Bookshelf,Furniture,6,384.94,2309.64,15,1963.19,184,0,1963.19,Rainy,14.78,37,1.43,20.3,0,,0,0,,Spring
T5579,2024-04-04,P001,Laptop,Electronics,5,994.46,4972.3,10,4475.07,154,0,4475.07,Snow,11.03,33,19.48,6.83,0,,0,0,,Spring
T5474,2024-04-04,P007,Vacuum Cleaner,Home Appliances,4,807.2,3228.8,20,2583.04,121,0,2583.04,Stormy,22.99,68,5.74,19.77,0,,0,0,,Spring
T2314,2024-04-04,P010,Shoes,Clothing,8,180.39,1443.12,5,1370.96,13,0,1370.96,Rainy,17.25,71,9.24,29.63,0,,0,0,,Spring
T3619,2024-04-04,P015,Dining Table,Furniture,2,756.28,1512.56,15,1285.68,165,0,1285.68,Rainy,24.6,50,11.12,11.44,0,,0,0,,Spring
T6254,2024-04-04,P007,Vacuum Cleaner,Home Appliances,8,175.71,1405.68,0,1405.68,176,1,1124.54,Stormy,24.89,61,14.8,20.89,0,,0,0,,Spring
T7453,2024-04-04,P003,Headphones,Electronics,10,222.29,2222.9,0,2222.9,101,0,2222.9,Sunny,19.72,36,0.0,24.63,0,,0,0,,Spring
T4989,2024-04-04,P016,Bookshelf,Furniture,6,383.54,2301.24,0,2301.24,45,0,2301.24,Sunny,23.71,80,0.0,19.57,0,,0,0,,Spring
T6497,2024-04-05,P006,Blender,Home Appliances,4,788.63,3154.52,20,2523.62,195,1,2018.9,Cloudy,11.77,35,0.0,22.66,0,,0,0,,Spring
T7641,2024-04-05,P018,Toy Car,Toys,3,773.81,2321.43,10,2089.29,50,0,2089.29,Snow,12.87,66,7.12,19.16,0,,0,0,,Spring
T9790,2024-04-05,P011,T-shirt,Clothing,3,280.17,840.51,20,672.41,128,1,537.93,Snow,16.82,64,11.66,16.61,0,,0,0,,Spring
T7069,2024-04-05,P002,Smartphone,Electronics,8,534.34,4274.72,5,4060.98,12,1,3248.78,Snow,22.39,54,3.33,10.66,0,,0,0,,Spring
T4722,2024-04-05,P019,Doll,Toys,8,912.48,7299.84,15,6204.86,44,1,4963.89,Rainy,17.13,82,10.26,13.23,0,,0,0,,Spring
T5345,2024-04-05,P009,Coffee Machine,Home Appliances,10,841.77,8417.7,0,8417.7,94,1,6734.16,Sunny,14.2,74,0.0,11.95,0,,0,0,,Spring
T7068,2024-04-05,P008,Air Fryer,Home Appliances,5,121.75,608.75,10,547.88,134,1,438.3,Snow,14.36,40,7.84,21.31,0,,0,0,,Spring
T2891,2024-04-05,P001,Laptop,Electronics,4,572.36,2289.44,0,2289.44,75,0,2289.44,Snow,17.38,69,1.78,13.44,0,,0,0,,Spring
T3745,2024-04-05,P004,Monitor,Electronics,2,806.28,1612.56,5,1531.93,198,1,1225.54,Cloudy,15.21,41,0.0,8.22,0,,0,0,,Spring
T2698,2024-04-05,P006,Blender,Home Appliances,5,852.43,4262.15,20,3409.72,10,1,2727.78,Cloudy,15.37,30,0.0,25.94,0,,0,0,,Spring
T4888,2024-04-06,P006,Blender,Home Appliances,2,112.05,224.1,20,179.28,137,1,143.42,Cloudy,13.89,48,0.0,5.23,0,,1,0,,Spring
T8476,2024-04-06,P012,Jeans,Clothing,7,997.96,6985.72,0,6985.72,59,1,5588.58,Rainy,10.21,51,11.48,20.85,0,,1,0,,Spring
T7842,2024-04-06,P012,Jeans,Clothing,6,948.3,5689.8,15,4836.33,164,0,4836.33,Sunny,10.96,83,0.0,9.99,0,,1,0,,Spring
T8559,2024-04-06,P009,Coffee Machine,Home Appliances,6,895.43,5372.58,5,5103.95,185,1,4083.16,Cloudy,20.2,37,0.0,6.57,0,,1,0,,Spring
T8802,2024-04-06,P009,Coffee Machine,Home Appliances,3,636.85,1910.55,15,1623.97,100,1,1299.18,Cloudy,22.98,72,0.0,15.83,0,,1,0,,Spring
T5012,2024-04-06,P016,Bookshelf,Furniture,8,328.33,2626.64,20,2101.31,112,1,1681.05,Sunny,18.7,58,0.0,23.1,0,,1,0,,Spring
T8874,2024-04-06,P003,Headphones,Electronics,6,83.27,499.62,20,399.7,28,1,319.76,Sunny,12.47,61,0.0,16.01,0,,1,0,,Spring
T1241,2024-04-06,P012,Jeans,Clothing,3,734.71,2204.13,10,1983.72,108,1,1586.98,Snow,23.4,63,13.34,18.8,0,,1,0,,Spring
T5434,2024-04-06,P015,Dining Table,Furniture,10,454.81,4548.1,20,3638.48,22,1,2910.78,Cloudy,12.97,62,0.0,27.71,0,,1,0,,Spring
T1749,2024-04-06,P007,Vacuum Cleaner,Home Appliances,4,307.13,1228.52,10,1105.67,66,0,1105.67,Stormy,11.74,89,1.33,14.02,0,,1,0,,Spring
T3369,2024-04-07,P002,Smartphone,Electronics,9,663.45,5971.05,5,5672.5,87,0,5672.5,Rainy,12.77,47,15.5,15.69,0,,1,0,,Spring
T2898,2024-04-07,P017,Mattress,Furniture,2,415.26,830.52,10,747.47,55,1,597.98,Snow,18.93,49,17.49,21.78,0,,1,0,,Spring
T3384,2024-04-07,P009,Coffee Machine,Home Appliances,4,137.43,549.72,0,549.72,161,1,439.78,Sunny,13.69,42,0.0,28.04,0,,1,0,,Spring
T7802,2024-04-07,P007,Vacuum Cleaner,Home Appliances,6,890.35,5342.1,5,5074.99,99,1,4059.99,Rainy,23.01,84,4.49,22.28,0,,1,0,,Spring
T7983,2024-04-07,P001,Laptop,Electronics,9,811.2,7300.8,20,5840.64,18,1,4672.51,Snow,21.26,59,16.14,18.73,0,,1,0,,Spring
T1911,2024-04-07,P007,Vacuum Cleaner,Home Appliances,1,341.17,341.17,20,272.94,19,0,272.94,Sunny,23.56,44,0.0,10.9,0,,1,0,,Spring
T1151,2024-04-07,P002,Smartphone,Electronics,4,951.41,3805.64,0,3805.64,190,0,3805.64,Cloudy,24.45,44,0.0,13.91,0,,1,0,,Spring
T6420,2024-04-07,P002,Smartphone,Electronics,7,606.68,4246.76,15,3609.75,82,1,2887.8,Cloudy,16.41,78,0.0,20.87,0,,1,0,,Spring
T7998,2024-04-07,P001,Laptop,Electronics,8,963.23,7705.84,20,6164.67,21,1,4931.74,Sunny,13.07,86,0.0,25.99,0,,1,0,,Spring
T8594,2024-04-07,P019,Doll,Toys,10,300.91,3009.1,0,3009.1,90,0,3009.1,Sunny,12.46,58,0.0,26.48,0,,1,0,,Spring
T2472,2024-04-08,P020,Board Game,Toys,10,634.68,6346.8,10,5712.12,159,1,4569.7,Stormy,11.35,59,14.09,9.6,0,,0,0,,Spring
T2278,2024-04-08,P016,Bookshelf,Furniture,5,320.1,1600.5,20,1280.4,175,1,1024.32,Rainy,10.95,40,0.25,10.04,0,,0,0,,Spring
T7414,2024-04-08,P005,Keyboard,Accessories,10,893.16,8931.6,10,8038.44,136,0,8038.44,Snow,18.18,60,15.78,24.31,0,,0,0,,Spring
T5658,2024-04-08,P008,Air Fryer,Home Appliances,6,541.4,3248.4,0,3248.4,95,0,3248.4,Rainy,16.92,89,7.29,27.07,0,,0,0,,Spring
T5107,2024-04-08,P002,Smartphone,Electronics,7,925.3,6477.1,10,5829.39,119,1,4663.51,Sunny,11.07,34,0.0,8.15,0,,0,0,,Spring
T3312,2024-04-08,P012,Jeans,Clothing,5,946.64,4733.2,15,4023.22,13,1,3218.58,Rainy,18.26,88,6.43,13.62,0,,0,0,,Spring
T8618,2024-04-08,P014,Sofa,Furniture,2,129.68,259.36,5,246.39,180,0,246.39,Rainy,19.31,81,12.75,10.15,0,,0,0,,Spring
T9677,2024-04-08,P013,Winter Coat,Clothing,5,572.25,2861.25,20,2289.0,22,0,2289.0,Sunny,21.49,77,0.0,17.15,0,,0,0,,Spring
T9629,2024-04-08,P014,Sofa,Furniture,2,966.0,1932.0,10,1738.8,36,0,1738.8,Cloudy,21.95,54,0.0,26.55,0,,0,0,,Spring
T6843,2024-04-08,P006,Blender,Home Appliances,4,187.98,751.92,15,639.13,44,0,639.13,Snow,13.34,78,14.98,21.96,0,,0,0,,Spring
T4192,2024-04-09,P018,Toy Car,Toys,5,126.06,630.3,15,535.75,74,1,428.6,Cloudy,24.88,76,0.0,29.53,0,,0,0,,Spring
T6160,2024-04-09,P018,Toy Car,Toys,5,964.65,4823.25,0,4823.25,88,0,4823.25,Cloudy,14.67,71,0.0,21.43,0,,0,0,,Spring
T7328,2024-04-09,P015,Dining Table,Furniture,10,322.36,3223.6,5,3062.42,118,1,2449.94,Stormy,11.02,46,4.64,24.83,0,,0,0,,Spring
T4943,2024-04-09,P017,Mattress,Furniture,9,214.75,1932.75,0,1932.75,128,0,1932.75,Sunny,10.68,76,0.0,5.1,0,,0,0,,Spring
T7310,2024-04-09,P012,Jeans,Clothing,1,840.51,840.51,20,672.41,132,1,537.93,Rainy,24.68,44,11.4,16.43,0,,0,0,,Spring
T7260,2024-04-09,P005,Keyboard,Accessories,7,779.93,5459.51,10,4913.56,189,0,4913.56,Sunny,23.65,70,0.0,27.62,0,,0,0,,Spring
T9185,2024-04-09,P015,Dining Table,Furniture,7,423.18,2962.26,5,2814.15,165,0,2814.15,Cloudy,19.14,47,0.0,15.82,0,,0,0,,Spring
T6816,2024-04-09,P013,Winter Coat,Clothing,2,424.11,848.22,10,763.4,149,0,763.4,Stormy,22.62,80,4.16,16.88,0,,0,0,,Spring
T6199,2024-04-09,P013,Winter Coat,Clothing,1,315.97,315.97,0,315.97,62,0,315.97,Sunny,24.94,54,0.0,8.85,0,,0,0,,Spring
T5309,2024-04-09,P017,Mattress,Furniture,1,398.67,398.67,0,398.67,192,0,398.67,Cloudy,15.76,55,0.0,8.82,0,,0,0,,Spring
T9092,2024-04-10,P008,Air Fryer,Home Appliances,5,432.75,2163.75,15,1839.19,103,1,1471.35,Rainy,24.06,75,13.03,16.69,0,,0,0,,Spring
T1433,2024-04-10,P014,Sofa,Furniture,6,705.05,4230.3,10,3807.27,177,1,3045.82,Sunny,16.58,65,0.0,28.55,0,,0,0,,Spring
T6494,2024-04-10,P011,T-shirt,Clothing,4,847.07,3388.28,20,2710.62,130,1,2168.5,Cloudy,17.4,32,0.0,14.9,0,,0,0,,Spring
T6867,2024-04-10,P018,Toy Car,Toys,8,207.93,1663.44,0,1663.44,26,1,1330.75,Snow,16.29,62,11.32,26.18,0,,0,0,,Spring
T2213,2024-04-10,P017,Mattress,Furniture,3,241.92,725.76,10,653.18,162,1,522.54,Rainy,10.89,71,4.4,6.46,0,,0,0,,Spring
