Transaction ID,Date,Product Name,Quantity Sold,Sales Price per Unit ($),Discount (%),Stock After Sale,Returned,Weather Condition,Temperature (°C),Humidity (%),Precipitation (mm),Wind Speed (km/h),Is Holiday,Is Weekend,Is Special Event,Season,Category,Total Sales ($),Total Sales After Discount ($),Net Sales Value ($),Sales_Lag_1,Sales_Lag_7,Sales_Lag_14,Future_7_Day_Sales,Month,Monthly Sales
T1275,2023-10-03,Wardrobe,13,928.08,20,265,1,Snow,20.97,27,29.35,46.61,1,0,1,Fall,Furniture,12065.04,9652.032000000001,8723.952000000001,2.0,15.0,3.0,9.0,2023-10,30
T1277,2023-10-05,Monitor,6,324.87,0,327,0,Stormy,33.86,57,21.1,17.74,0,0,0,Fall,Electronics,1949.22,1949.22,1949.22,17.0,8.0,19.0,6.0,2023-10,53
T1278,2023-10-06,Smartphone,4,751.93,20,393,0,Stormy,11.72,39,42.26,1.35,1,0,0,Fall,Electronics,3007.72,2406.176,2406.176,7.0,15.0,17.0,12.0,2023-10,27
T1279,2023-10-07,Smartphone,19,436.8,15,269,0,Sunny,4.4,16,34.82,41.76,0,1,0,Summer,Electronics,8299.2,7054.320000000001,7054.320000000001,4.0,3.0,4.0,14.0,2023-10,27
T1280,2023-10-08,Monitor,16,96.67,20,186,0,Cloudy,29.88,12,38.56,66.57,0,1,0,Spring,Electronics,1546.72,1237.3760000000002,1237.3760000000002,6.0,2.0,9.0,16.0,2023-10,53
T1283,2023-10-11,Monitor,17,299.59,0,481,0,Snow,35.7,24,2.78,43.4,1,0,0,Fall,Electronics,5093.03,5093.03,5093.03,16.0,16.0,13.0,14.0,2023-10,53
T1284,2023-10-12,Television,1,338.88,0,277,1,Stormy,3.91,80,40.05,31.1,1,0,0,Winter,Electronics,338.88,338.88,0.0,14.0,18.0,6.0,7.0,2023-10,7
T1287,2023-10-15,Action Figure,15,640.72,5,180,0,Snow,23.0,27,22.19,26.96,0,0,1,Spring,Toys,9610.800000000001,9130.26,9130.26,17.0,4.0,9.0,1.0,2023-10,15
T1288,2023-10-16,Headphones,11,601.32,20,290,1,Cloudy,24.78,31,1.1,9.77,0,0,1,Spring,Electronics,6614.52,5291.616000000001,4690.296000000001,4.0,17.0,18.0,10.0,2023-10,12
T1290,2023-10-18,Headphones,1,200.39,0,377,0,Sunny,9.4,70,41.36,82.51,0,0,0,Summer,Electronics,200.39,200.39,200.39,11.0,8.0,16.0,15.0,2023-10,12
T1291,2023-10-19,Wardrobe,17,302.7,10,163,0,Snow,10.28,62,30.38,3.33,0,0,1,Winter,Furniture,5145.9,4631.3099999999995,4631.3099999999995,13.0,3.0,3.0,8.0,2023-10,30
T1292,2023-10-20,Television,6,623.42,15,271,0,Stormy,25.61,35,26.19,35.86,1,1,1,Summer,Electronics,3740.5199999999995,3179.4419999999996,3179.4419999999996,1.0,18.0,7.0,19.0,2023-10,7
T1293,2023-10-21,Smartphone,4,603.63,15,376,1,Cloudy,-2.38,49,47.22,74.99,1,1,0,Summer,Electronics,2414.52,2052.342,1448.712,19.0,2.0,9.0,19.0,2023-10,27
T1294,2023-10-22,Camera,16,511.27,20,96,1,Cloudy,36.81,97,8.66,94.64,0,1,1,Spring,Electronics,8180.32,6544.256,6032.986000000001,14.0,18.0,13.0,8.0,2023-10,30
T1296,2023-10-24,Coffee Maker,15,913.8,5,365,1,Sunny,39.99,30,37.84,87.21,0,0,1,Fall,Kitchen,13707.0,13021.65,12107.85,14.0,1.0,10.0,7.0,2023-10,15
T1297,2023-10-25,Sofa,6,346.37,5,469,1,Cloudy,2.72,52,38.76,39.37,1,1,0,Summer,Furniture,2078.2200000000003,1974.3090000000002,1627.9390000000003,5.0,15.0,17.0,9.0,2023-10,15
T1299,2023-10-27,Monitor,14,681.33,0,288,0,Stormy,5.05,12,47.55,0.34,0,0,1,Spring,Electronics,9538.62,9538.62,9538.62,17.0,12.0,7.0,8.0,2023-10,53
T1302,2023-10-30,Sofa,9,441.29,5,225,0,Rainy,33.64,36,8.62,94.51,1,0,0,Fall,Furniture,3971.61,3773.0295,3773.0295,6.0,2.0,9.0,2.0,2023-10,15
T1303,2023-10-31,Dining Table,16,796.54,0,412,1,Rainy,13.16,82,41.01,20.61,0,1,1,Spring,Furniture,12744.64,12744.64,11948.099999999999,5.0,15.0,15.0,14.0,2023-10,16
T1305,2023-11-02,Smartphone,10,150.83,20,469,1,Stormy,20.07,42,4.77,2.52,0,1,1,Fall,Electronics,1508.3000000000002,1206.64,1055.8100000000002,4.0,16.0,8.0,11.0,2023-11,15
T1306,2023-11-03,Television,18,320.03,10,118,0,Sunny,33.38,99,39.25,76.35,0,0,0,Winter,Electronics,5760.539999999999,5184.485999999999,5184.485999999999,6.0,12.0,1.0,2.0,2023-11,36
T1308,2023-11-05,Coffee Maker,13,98.1,5,192,0,Snow,18.57,52,24.62,23.78,0,1,1,Fall,Kitchen,1275.3,1211.5349999999999,1211.5349999999999,15.0,4.0,18.0,18.0,2023-11,13
T1310,2023-11-07,Microwave,17,545.59,15,78,1,Snow,10.93,74,33.04,12.21,0,1,1,Winter,Kitchen,9275.03,7883.775500000001,7338.1855000000005,18.0,10.0,2.0,2.0,2023-11,32
T1311,2023-11-08,Toy Car,13,985.0,0,147,0,Stormy,35.12,93,27.56,45.68,1,0,1,Winter,Toys,12805.0,12805.0,12805.0,3.0,14.0,8.0,2.0,2023-11,32
T1312,2023-11-09,Action Figure,6,939.61,20,107,0,Snow,2.46,85,10.33,13.33,0,0,0,Winter,Toys,5637.66,4510.128,4510.128,15.0,17.0,19.0,11.0,2023-11,38
T1313,2023-11-10,Headphones,17,458.29,10,382,0,Stormy,1.73,26,17.02,52.33,0,1,1,Spring,Electronics,7790.93,7011.837,7011.837,1.0,18.0,18.0,14.0,2023-11,30
T1314,2023-11-11,Headphones,13,206.51,20,271,1,Sunny,20.96,24,29.84,73.46,0,1,1,Spring,Electronics,2684.63,2147.704,1941.1940000000002,17.0,12.0,5.0,14.0,2023-11,30
T1315,2023-11-12,Toy Car,19,173.24,5,390,0,Rainy,24.59,43,46.24,55.33,0,1,0,Winter,Toys,3291.5600000000004,3126.9820000000004,3126.9820000000004,13.0,11.0,10.0,8.0,2023-11,32
T1316,2023-11-13,Wardrobe,19,247.59,20,244,0,Sunny,3.76,89,46.02,24.52,1,1,0,Winter,Furniture,4704.21,3763.3680000000004,3763.3680000000004,17.0,15.0,10.0,3.0,2023-11,19
T1319,2023-11-16,Action Figure,14,348.01,5,468,0,Snow,6.1,98,38.78,58.98,1,1,1,Spring,Toys,4872.139999999999,4628.532999999999,4628.532999999999,6.0,13.0,2.0,1.0,2023-11,38
T1321,2023-11-18,Board Game,5,914.1,5,422,1,Rainy,28.31,37,28.54,84.49,1,1,0,Summer,Toys,4570.5,4341.974999999999,3427.8749999999995,19.0,2.0,18.0,5.0,2023-11,9
T1322,2023-11-19,Smartphone,5,197.5,15,26,1,Snow,15.17,82,0.53,47.52,1,1,0,Fall,Electronics,987.5,839.375,641.875,10.0,4.0,8.0,9.0,2023-11,15
T1323,2023-11-20,Television,17,14.98,20,210,0,Rainy,37.19,11,38.08,16.24,1,1,0,Summer,Electronics,254.66,203.728,203.728,18.0,11.0,16.0,12.0,2023-11,36
T1324,2023-11-21,Microwave,10,69.5,15,92,1,Stormy,28.15,26,5.33,12.28,1,1,1,Summer,Kitchen,695.0,590.75,521.25,17.0,9.0,4.0,5.0,2023-11,32
T1325,2023-11-22,Microwave,5,905.72,15,125,0,Stormy,15.61,67,5.84,96.56,0,1,0,Summer,Kitchen,4528.6,3849.3100000000004,3849.3100000000004,10.0,12.0,7.0,16.0,2023-11,32
T1326,2023-11-23,Board Game,4,651.04,0,435,0,Rainy,20.62,83,30.28,28.15,0,0,1,Fall,Toys,2604.16,2604.16,2604.16,5.0,18.0,13.0,5.0,2023-11,9
T1327,2023-11-24,Sofa,6,280.31,0,73,0,Sunny,26.17,18,49.18,90.86,1,1,0,Spring,Furniture,1681.8600000000001,1681.8600000000001,1681.8600000000001,9.0,8.0,9.0,3.0,2023-11,6
T1328,2023-11-25,Dining Table,4,185.42,0,480,0,Stormy,21.65,40,12.13,41.06,0,0,1,Spring,Furniture,741.68,741.68,741.68,16.0,14.0,9.0,2.0,2023-11,4
T1331,2023-11-28,Action Figure,18,942.12,20,184,1,Stormy,8.49,71,44.94,0.99,1,0,0,Fall,Toys,16958.16,13566.528,12624.408,14.0,8.0,16.0,3.0,2023-11,38
T1332,2023-11-29,Monitor,3,786.36,15,187,0,Cloudy,4.62,28,29.68,33.81,1,1,1,Winter,Electronics,2359.08,2005.2179999999998,2005.2179999999998,14.0,4.0,11.0,7.0,2023-11,3
T1333,2023-11-30,Television,1,467.77,20,198,1,Snow,-3.3,90,10.37,30.26,0,1,1,Summer,Electronics,467.77,374.216,-93.55399999999997,17.0,7.0,9.0,3.0,2023-11,36
T1334,2023-12-01,Coffee Maker,4,866.31,0,78,1,Snow,-3.06,83,13.11,86.81,1,0,1,Spring,Kitchen,3465.24,3465.24,2598.93,13.0,9.0,13.0,4.0,2023-12,34
T1338,2023-12-05,Toy Car,12,363.2,20,253,1,Stormy,22.66,74,34.0,59.05,0,1,1,Spring,Toys,4358.4,3486.72,3123.52,19.0,13.0,15.0,11.0,2023-12,28
T1339,2023-12-06,Wardrobe,4,759.89,5,13,1,Cloudy,33.21,12,20.36,15.17,1,0,0,Winter,Furniture,3039.56,2887.582,2127.692,19.0,2.0,4.0,11.0,2023-12,19
T1340,2023-12-07,Toy Car,12,302.12,20,299,1,Cloudy,16.61,88,36.31,24.62,0,0,1,Spring,Toys,3625.44,2900.3520000000003,2598.2320000000004,12.0,3.0,8.0,4.0,2023-12,28
T1341,2023-12-08,Board Game,10,305.87,0,76,0,Stormy,34.17,61,5.5,29.36,0,1,1,Summer,Toys,3058.7,3058.7,3058.7,4.0,17.0,18.0,12.0,2023-12,39
T1342,2023-12-09,Camera,7,115.99,5,51,1,Rainy,11.18,19,30.49,60.79,0,1,1,Winter,Electronics,811.93,771.3335,655.3435,16.0,14.0,11.0,12.0,2023-12,7
T1343,2023-12-10,Microwave,3,445.66,10,275,1,Rainy,36.7,30,22.17,37.33,0,1,1,Fall,Kitchen,1336.98,1203.2820000000002,757.6220000000001,5.0,12.0,2.0,10.0,2023-12,21
T1344,2023-12-11,Smartphone,14,732.41,15,149,1,Snow,26.44,46,2.9,50.58,0,0,0,Winter,Electronics,10253.74,8715.679,7983.269,5.0,13.0,15.0,14.0,2023-12,36
T1345,2023-12-12,Smartphone,10,940.82,15,219,1,Sunny,6.57,24,27.24,65.04,1,0,1,Summer,Electronics,9408.2,7996.97,7056.150000000001,14.0,7.0,13.0,6.0,2023-12,36
T1346,2023-12-13,Action Figure,16,607.76,10,122,0,Cloudy,20.38,96,4.14,95.63,1,1,1,Summer,Toys,9724.16,8751.744,8751.744,18.0,4.0,7.0,6.0,2023-12,22
T1347,2023-12-14,Headphones,16,864.5,0,211,0,Snow,18.99,87,41.39,76.48,0,0,1,Winter,Electronics,13832.0,13832.0,13832.0,13.0,5.0,16.0,3.0,2023-12,16
T1348,2023-12-15,Coffee Maker,10,824.27,10,280,1,Stormy,1.21,88,31.6,40.53,1,1,0,Spring,Kitchen,8242.7,7418.430000000001,6594.160000000002,4.0,17.0,14.0,17.0,2023-12,34
T1349,2023-12-16,Television,13,181.61,0,26,1,Cloudy,21.61,83,27.85,74.83,0,1,0,Summer,Electronics,2360.9300000000003,2360.9300000000003,2179.32,1.0,19.0,1.0,6.0,2023-12,13
T1351,2023-12-18,Smartphone,12,125.75,10,156,0,Sunny,-2.64,53,14.37,49.94,0,1,1,Summer,Electronics,1509.0,1358.1000000000001,1358.1000000000001,10.0,4.0,15.0,5.0,2023-12,36
T1352,2023-12-19,Coffee Maker,9,685.33,0,238,1,Rainy,37.69,48,24.64,41.05,1,0,0,Spring,Kitchen,6167.97,6167.97,5482.64,10.0,6.0,7.0,5.0,2023-12,34
T1353,2023-12-20,Sofa,13,950.4,5,376,1,Snow,23.87,14,31.66,7.8,0,1,0,Spring,Furniture,12355.199999999999,11737.439999999999,10787.039999999999,6.0,18.0,5.0,4.0,2023-12,13
T1354,2023-12-21,Board Game,4,145.72,10,82,0,Stormy,34.46,34,9.16,89.24,1,0,0,Winter,Toys,582.88,524.592,524.592,10.0,16.0,15.0,17.0,2023-12,39
T1355,2023-12-22,Monitor,11,736.54,15,492,0,Cloudy,25.42,65,0.44,24.64,0,0,1,Fall,Electronics,8101.94,6886.648999999999,6886.648999999999,3.0,16.0,3.0,18.0,2023-12,11
T1356,2023-12-23,Microwave,18,635.92,10,356,0,Sunny,11.06,99,17.24,6.4,0,0,0,Fall,Kitchen,11446.56,10301.904,10301.904,3.0,10.0,2.0,8.0,2023-12,21
T1357,2023-12-24,Coffee Maker,11,587.77,20,490,1,Cloudy,18.07,73,24.14,53.72,1,0,1,Spring,Kitchen,6465.469999999999,5172.376,4584.606,9.0,10.0,12.0,14.0,2023-12,34
T1358,2023-12-25,Toy Car,4,396.22,10,413,0,Stormy,25.41,81,9.22,84.59,0,0,0,Fall,Toys,1584.88,1426.392,1426.392,12.0,5.0,13.0,15.0,2023-12,28
T1359,2023-12-26,Board Game,18,361.58,20,273,0,Cloudy,38.21,95,24.61,40.66,0,0,0,Spring,Toys,6508.44,5206.752,5206.752,4.0,8.0,12.0,8.0,2023-12,39
T1360,2023-12-27,Sneakers,1,54.8,5,68,1,Snow,6.42,61,16.92,78.31,1,1,1,Fall,Clothing,54.8,52.059999999999995,-2.740000000000002,11.0,19.0,14.0,18.0,2023-12,19
T1361,2023-12-28,Board Game,7,225.73,10,44,0,Rainy,34.37,98,22.75,83.64,1,0,1,Spring,Toys,1580.11,1422.099,1422.099,18.0,4.0,5.0,1.0,2023-12,39
T1362,2023-12-29,Action Figure,6,25.03,5,493,1,Cloudy,36.58,85,17.37,45.44,0,1,1,Summer,Toys,150.18,142.671,117.64099999999999,16.0,9.0,10.0,14.0,2023-12,22
T1363,2023-12-30,Wardrobe,15,585.6,5,61,1,Rainy,25.17,18,31.42,59.1,0,0,0,Winter,Furniture,8784.0,8344.8,7759.199999999999,4.0,15.0,16.0,19.0,2023-12,19
T1364,2023-12-31,Sneakers,18,114.79,0,123,0,Stormy,36.91,19,2.14,53.39,0,1,1,Winter,Clothing,2066.2200000000003,2066.2200000000003,2066.2200000000003,1.0,6.0,17.0,14.0,2023-12,19
T1365,2024-01-01,Board Game,11,874.29,5,349,1,Rainy,12.9,19,8.55,93.92,0,1,1,Fall,Toys,9617.189999999999,9136.330499999998,8262.0405,7.0,19.0,17.0,8.0,2024-01,50
T1366,2024-01-02,Microwave,15,527.91,5,196,0,Cloudy,37.89,82,21.64,72.55,1,0,0,Winter,Kitchen,7918.65,7522.7175,7522.7175,18.0,3.0,11.0,5.0,2024-01,18
T1367,2024-01-03,Coffee Maker,16,702.69,10,330,0,Cloudy,26.63,71,17.81,92.53,0,1,1,Fall,Kitchen,11243.04,10118.736,10118.736,11.0,14.0,8.0,12.0,2024-01,45
T1368,2024-01-04,Coffee Maker,7,416.75,10,409,0,Sunny,-3.11,99,19.58,22.0,0,1,1,Spring,Kitchen,2917.25,2625.525,2625.525,16.0,15.0,1.0,4.0,2024-01,45
T1369,2024-01-05,Sofa,10,564.97,15,479,1,Cloudy,35.81,69,40.19,31.02,1,0,0,Summer,Furniture,5649.700000000001,4802.245000000001,4237.275000000001,13.0,15.0,19.0,1.0,2024-01,10
T1370,2024-01-06,Dining Table,12,943.23,0,323,0,Rainy,16.8,28,44.32,7.09,1,0,0,Winter,Furniture,11318.76,11318.76,11318.76,4.0,12.0,7.0,10.0,2024-01,16
T1371,2024-01-07,Smartphone,14,91.91,5,111,1,Sunny,15.71,47,12.43,49.99,0,0,0,Summer,Electronics,1286.74,1222.403,1130.493,12.0,19.0,3.0,3.0,2024-01,53
T1372,2024-01-08,Board Game,5,261.4,0,258,1,Cloudy,20.49,15,41.82,87.39,1,0,1,Winter,Toys,1307.0,1307.0,1045.6,11.0,5.0,2.0,3.0,2024-01,50
T1374,2024-01-10,Board Game,5,107.75,5,433,0,Stormy,16.11,56,13.69,12.83,1,0,1,Winter,Toys,538.75,511.8125,511.8125,5.0,4.0,18.0,16.0,2024-01,50
T1375,2024-01-11,Dining Table,3,84.9,0,198,1,Sunny,32.4,54,49.27,6.84,0,0,0,Winter,Furniture,254.70000000000002,254.70000000000002,169.8,12.0,10.0,7.0,6.0,2024-01,16
T1376,2024-01-12,Headphones,5,367.93,15,282,1,Stormy,-4.3,14,41.24,44.75,0,0,0,Spring,Electronics,1839.65,1563.7025,1195.7725,16.0,10.0,19.0,14.0,2024-01,15
T1377,2024-01-13,Watch,17,101.25,15,200,0,Stormy,7.28,87,49.71,16.4,0,1,0,Fall,Clothing,1721.25,1463.0625,1463.0625,18.0,1.0,19.0,6.0,2024-01,17
T1378,2024-01-14,Toy Car,19,589.23,5,99,0,Stormy,-4.89,62,8.41,34.61,1,0,1,Fall,Toys,11195.37,10635.6015,10635.6015,4.0,6.0,19.0,13.0,2024-01,26
T1379,2024-01-15,Smartphone,19,234.01,20,27,1,Snow,13.71,75,7.19,82.0,0,1,1,Spring,Electronics,4446.19,3556.9519999999998,3322.942,14.0,4.0,2.0,3.0,2024-01,53
T1380,2024-01-16,Board Game,12,896.74,15,89,1,Stormy,27.77,71,25.17,38.4,0,0,1,Fall,Toys,10760.880000000001,9146.748000000001,8250.008000000002,5.0,10.0,17.0,1.0,2024-01,50
T1381,2024-01-17,T-shirt,9,785.67,15,146,0,Rainy,30.94,32,31.93,60.99,0,0,1,Winter,Clothing,7071.03,6010.375499999999,6010.375499999999,6.0,8.0,18.0,6.0,2024-01,9
T1382,2024-01-18,Dining Table,1,702.71,20,182,1,Cloudy,37.53,53,8.55,50.22,1,0,1,Summer,Furniture,702.71,562.168,-140.54200000000003,3.0,14.0,7.0,2.0,2024-01,16
T1383,2024-01-19,Coffee Maker,18,620.77,0,257,1,Snow,22.38,61,43.02,71.85,0,0,0,Spring,Kitchen,11173.86,11173.86,10553.09,7.0,13.0,4.0,16.0,2024-01,45
T1384,2024-01-20,Coffee Maker,4,864.83,15,189,1,Stormy,6.46,55,26.6,15.62,0,1,0,Winter,Kitchen,3459.32,2940.422,2075.592,18.0,4.0,9.0,7.0,2024-01,45
T1385,2024-01-21,Headphones,10,230.83,10,240,1,Cloudy,36.59,28,20.55,92.04,0,1,0,Spring,Electronics,2308.3,2077.4700000000003,1846.6400000000003,5.0,4.0,2.0,17.0,2024-01,15
T1386,2024-01-22,Wardrobe,7,874.38,15,359,0,Sunny,29.89,97,30.1,64.36,0,0,0,Summer,Furniture,6120.66,5202.561,5202.561,15.0,4.0,11.0,12.0,2024-01,7
T1387,2024-01-23,Microwave,1,791.6,0,387,1,Sunny,20.85,93,31.75,27.1,1,1,1,Winter,Kitchen,791.6,791.6,0.0,15.0,18.0,8.0,10.0,2024-01,18
T1389,2024-01-25,Monitor,2,565.64,5,297,1,Rainy,36.59,61,49.99,14.97,0,1,1,Summer,Electronics,1131.28,1074.716,509.0759999999999,11.0,17.0,5.0,18.0,2024-01,2
T1390,2024-01-26,Smartphone,11,253.78,10,165,0,Cloudy,27.06,33,18.2,78.27,1,0,0,Summer,Electronics,2791.58,2512.422,2512.422,19.0,10.0,16.0,8.0,2024-01,53
T1391,2024-01-27,Smartphone,9,429.31,0,307,1,Cloudy,11.58,26,3.08,58.81,1,1,0,Fall,Electronics,3863.79,3863.79,3434.48,11.0,5.0,4.0,9.0,2024-01,53
T1392,2024-01-28,Toy Car,7,795.63,20,271,0,Snow,27.09,98,42.62,38.08,1,1,1,Winter,Toys,5569.41,4455.528,4455.528,19.0,3.0,4.0,9.0,2024-01,26
T1394,2024-01-30,Board Game,17,784.23,10,38,0,Sunny,12.39,73,40.82,85.58,1,0,0,Summer,Toys,13331.91,11998.719000000001,11998.719000000001,12.0,4.0,16.0,5.0,2024-01,50
